63527,14024
44069,4230
33558,888
11368,46909
67171,8723
29613,13091
96907,81194
18812,80303
85277,61555
74802,93800
38394,84712
9210,9153
21126,57943
7417,94730
13392,1464
5068,22611
99337,48268
25813,12621
84219,40179
44149,12906
95410,59756
38864,57366
79368,7105
63083,56658
70142,50542
82423,69126
35805,63927
15090,99860
12403,91554
50319,87619
77930,29030
96645,20035
59848,86642
53524,85958
81486,96265
35228,28850
7092,28738
22247,27098
51369,43585
24698,76076
62628,70605
98003,9476
42810,96722
10569,78123
59494,39293
41043,40649
1332,58393
96157,19846
65198,84443
79030,11523
72719,72246
99185,26648
54738,99242
99238,57974
26205,80397
14749,63159
12704,49535
57631,85506
7014,38862
35227,22354
7736,99529
47173,58319
23768,91487
9713,87772
83389,59956
89535,20684
71928,37815
93526,94173
51105,38570
11665,97467
15446,28674
7177,51273
24992,74835
66145,90244
74699,47220
73498,6363
48415,86939
73806,1830
97252,77483
71711,93387
12194,16378
31962,72905
15800,4218
1421,97421
59022,11697
65489,44165
89335,64094
61072,52800
44105,10604
43579,15022
54094,64382
15979,79882
47854,4163
45427,65053
5175,11350
33260,96432
65680,66493
8952,83148
35684,43591
36154,79731
50940,87876
10459,91723
35082,48431
45894,71194
93510,64010
20178,21652
41761,88816
91534,75878
69244,83203
43930,23928
38920,17150
8090,41606
70760,18626
95185,65085
30445,60616
58865,60137
24218,597
77913,27842
47382,39448
9710,72275
80068,58901
77826,18676
72007,92112
34726,91389
92910,16040
99622,14724
25039,16540
71626,97745
84393,96050
30139,25193
78783,64024
57439,25736
85192,96725
98435,16264
54206,85128
30602,62250
68995,56163
66889,95271
27538,359
82125,33805
23583,46586
27958,15574
532,72811
57827,83870
97622,17071
22970,85834
16565,50241
53420,37154
38520,62059
10662,83599
5803,9383
7615,16769
70719,18544
63788,7149
54493,20676
37333,68198
99246,29799
93945,65105
46981,61241
31428,85816
9548,14413
93835,87976
39402,38834
25945,68417
16739,93832
87489,71069
1024,72796
32806,46067
70944,58330
90293,6375
21117,80149
72471,90584
42727,98167
9685,85024
42896,41548
24250,18410
40037,45326
83150,63011
39818,39429
35405,61379
27501,73407
90751,98609
44068,8422
